EXPORTED CROSS SECTION DATA
504 2 2
x coordinate
Electron Conc
3.6160000000e-02 3.8345988318e+06 
3.6250000000e-02 3.8354301699e+06 
3.6260000000e-02 3.8355621253e+06 
3.6350000000e-02 3.8363928523e+06 
3.6360000000e-02 3.8365246882e+06 
3.6450000000e-02 3.8373548041e+06 
3.6460000000e-02 3.8374865215e+06 
3.6550000000e-02 3.8383160172e+06 
3.6560000000e-02 3.8384476142e+06 
3.6650000000e-02 3.8392764897e+06 
3.6660000000e-02 3.8394079682e+06 
3.6750000000e-02 3.8402362237e+06 
3.6760000000e-02 3.8403675806e+06 
3.6850000000e-02 3.8411952070e+06 
3.6860000000e-02 3.8413264424e+06 
3.6950000000e-02 3.8421534486e+06 
3.6960000000e-02 3.8422845635e+06 
3.7050000000e-02 3.8431109316e+06 
3.7060000000e-02 3.8432419251e+06 
3.7150000000e-02 3.8440676641e+06 
3.7160000000e-02 3.8441985339e+06 
3.7250000000e-02 3.8450236348e+06 
3.7260000000e-02 3.8451543832e+06 
3.7350000000e-02 3.8459788459e+06 
3.7360000000e-02 3.8461094697e+06 
3.7450000000e-02 3.8469332944e+06 
3.7460000000e-02 3.8470637957e+06 
3.7550000000e-02 3.8478869643e+06 
3.7560000000e-02 3.8480173410e+06 
3.7650000000e-02 3.8488398625e+06 
3.7660000000e-02 3.8489701147e+06 
3.7750000000e-02 3.8497919891e+06 
3.7760000000e-02 3.8499221167e+06 
3.7850000000e-02 3.8507433351e+06 
3.7860000000e-02 3.8508733371e+06 
3.7950000000e-02 3.8516938994e+06 
3.7960000000e-02 3.8518237748e+06 
3.8050000000e-02 3.8526436720e+06 
3.8060000000e-02 3.8527734219e+06 
3.8150000000e-02 3.8535926630e+06 
3.8160000000e-02 3.8537222863e+06 
3.8250000000e-02 3.8545408534e+06 
3.8260000000e-02 3.8546703481e+06 
3.8350000000e-02 3.8554882501e+06 
3.8360000000e-02 3.8556176182e+06 
3.8450000000e-02 3.8564348462e+06 
3.8460000000e-02 3.8565640867e+06 
3.8550000000e-02 3.8573806406e+06 
3.8560000000e-02 3.8575097515e+06 
3.8650000000e-02 3.8583256224e+06 
3.8660000000e-02 3.8584546057e+06 
3.8750000000e-02 3.8592698025e+06 
3.8760000000e-02 3.8593986552e+06 
3.8850000000e-02 3.8602131600e+06 
3.8860000000e-02 3.8603418830e+06 
3.8950000000e-02 3.8611557048e+06 
3.8960000000e-02 3.8612842982e+06 
3.9050000000e-02 3.8620974370e+06 
3.9060000000e-02 3.8622258987e+06 
3.9150000000e-02 3.8630383365e+06 
3.9160000000e-02 3.8631666686e+06 
3.9250000000e-02 3.8639784143e+06 
3.9260000000e-02 3.8641066138e+06 
3.9350000000e-02 3.8649176585e+06 
3.9360000000e-02 3.8650457263e+06 
