EXPORTED CROSS SECTION DATA
513 4 4
x coordinate
Electron QFL
Valence Band Energy
Conduction Band Energy
3.4120000000e-02 -5.3043350280e-18 -1.4660032128e+00 -4.3521071004e-02 
3.4210000000e-02 -1.5913005075e-17 -1.4650762976e+00 -4.2594156091e-02 
3.4220000000e-02 -1.5913005075e-17 -1.4650011282e+00 -4.2518986185e-02 
3.4310000000e-02 -5.3043350280e-18 -1.4640870943e+00 -4.1604955587e-02 
3.4320000000e-02 -6.6122532533e-18 -1.4640129616e+00 -4.1530823149e-02 
3.4410000000e-02 -1.3079182253e-18 -1.4631115410e+00 -4.0629401223e-02 
3.4420000000e-02 -4.3597274203e-19 -1.4630384238e+00 -4.0556284144e-02 
3.4510000000e-02 -5.7403077700e-18 -1.4621493485e+00 -3.9667202175e-02 
3.4520000000e-02 -5.3043350280e-18 -1.4620772254e+00 -3.9595078947e-02 
3.4610000000e-02 -1.5913005075e-17 -1.4612002182e+00 -3.8718075613e-02 
3.4620000000e-02 -1.6348977817e-17 -1.4611290681e+00 -3.8646925273e-02 
3.4710000000e-02 -1.1044642761e-17 -1.4602638887e+00 -3.7781745999e-02 
3.4720000000e-02 -1.1044642761e-17 -1.4601936910e+00 -3.7711548141e-02 
3.4810000000e-02 -1.1044642761e-17 -1.4593400900e+00 -3.6857944725e-02 
3.4820000000e-02 -1.0172697277e-17 -1.4592708242e+00 -3.6788679472e-02 
3.4910000000e-02 -4.8683622859e-18 -1.4584285520e+00 -3.5946410554e-02 
3.4920000000e-02 -6.1762805090e-18 -1.4583601999e+00 -3.5878058539e-02 
3.5010000000e-02 -8.7194548101e-19 -1.4575290348e+00 -3.5046888671e-02 
3.5020000000e-02 -8.7194548101e-19 -1.4574615773e+00 -3.4979431035e-02 
3.5110000000e-02 -8.7194548101e-19 -1.4566412699e+00 -3.4159131144e-02 
3.5120000000e-02 -4.3597274203e-19 -1.4565746881e+00 -3.4092549516e-02 
3.5210000000e-02 -4.3597274203e-19 -1.4557650349e+00 -3.3282896352e-02 
3.5220000000e-02 -8.7194548101e-19 -1.4556993114e+00 -3.3217172815e-02 
3.5310000000e-02 9.7367245380e-18 -1.4549000908e+00 -3.2417948578e-02 
3.5320000000e-02 1.0172697277e-17 -1.4548352080e+00 -3.2353065703e-02 
3.5410000000e-02 1.5477032333e-17 -1.4540461981e+00 -3.1564058694e-02 
3.5420000000e-02 1.5913005075e-17 -1.4539821394e+00 -3.1499999466e-02 
3.5510000000e-02 5.3043350280e-18 -1.4532031462e+00 -3.0721002882e-02 
3.5520000000e-02 4.4323895470e-18 -1.4531398941e+00 -3.0657750738e-02 
3.5610000000e-02 9.7367245380e-18 -1.4523707051e+00 -2.9888563322e-02 
3.5620000000e-02 9.7367245380e-18 -1.4523082435e+00 -2.9826102114e-02 
3.5710000000e-02 4.4323895470e-18 -1.4515486739e+00 -2.9066527596e-02 
