EXPORTED CROSS SECTION DATA
284 4 4
x coordinate
Electron QFL
Valence Band Energy
Conduction Band Energy
1.3526000000e+00 0.0000000000e+00 -4.7288852529e-01 6.0711147471e-01 
1.3535600000e+00 0.0000000000e+00 -4.7353578484e-01 6.0646421516e-01 
1.3622200000e+00 0.0000000000e+00 -4.7871297605e-01 6.0128702395e-01 
1.3631700000e+00 0.0000000000e+00 -4.7944391707e-01 6.0055608293e-01 
1.3718400000e+00 0.0000000000e+00 -4.8529862479e-01 5.9470137521e-01 
1.3727900000e+00 0.0000000000e+00 -4.8612736969e-01 5.9387263031e-01 
1.3814500000e+00 0.0000000000e+00 -4.9277630933e-01 5.8722369067e-01 
1.3824000000e+00 0.0000000000e+00 -4.9372020849e-01 5.8627979151e-01 
1.3910700000e+00 0.0000000000e+00 -5.0130753306e-01 5.7869246694e-01 
1.3920200000e+00 0.0000000000e+00 -5.0238812058e-01 5.7761187942e-01 
1.4006800000e+00 0.0000000000e+00 -5.1109382810e-01 5.6890617190e-01 
1.4016300000e+00 0.0000000000e+00 -5.1233813028e-01 5.6766186972e-01 
1.4103000000e+00 0.0000000000e+00 -5.2238968231e-01 5.5761031769e-01 
1.4112500000e+00 0.0000000000e+00 -5.2383203248e-01 5.5616796752e-01 
1.4199100000e+00 0.0000000000e+00 -5.3552063544e-01 5.4447936456e-01 
1.4208600000e+00 0.0000000000e+00 -5.3720523755e-01 5.4279476245e-01 
1.4295300000e+00 0.0000000000e+00 -5.5090896089e-01 5.2909103911e-01 
1.4304800000e+00 0.0000000000e+00 -5.5289357916e-01 5.2710642084e-01 
1.4391400000e+00 0.0000000000e+00 -5.6911054776e-01 5.1088945224e-01 
1.4400900000e+00 0.0000000000e+00 -5.7147195356e-01 5.0852804644e-01 
1.4487600000e+00 0.0000000000e+00 -5.9086821044e-01 4.8913178956e-01 
1.4497100000e+00 0.0000000000e+00 -5.9371052303e-01 4.8628947697e-01 
1.4583700000e+00 0.0000000000e+00 -6.1718816035e-01 4.6281183965e-01 
1.4593300000e+00 0.0000000000e+00 -6.2065643300e-01 4.5934356700e-01 
1.4679900000e+00 0.0000000000e+00 -6.4944532591e-01 4.3055467409e-01 
1.4689400000e+00 0.0000000000e+00 -6.5375023334e-01 4.2624976666e-01 
1.4776000000e+00 0.0000000000e+00 -6.8950860657e-01 3.9049139343e-01 
1.4785600000e+00 0.0000000000e+00 -6.9497956991e-01 3.8502043009e-01 
1.4872200000e+00 0.0000000000e+00 -7.3979955879e-01 3.4020044121e-01 
1.4881700000e+00 0.0000000000e+00 -7.4698700408e-01 3.3301299592e-01 
1.4968400000e+00 0.0000000000e+00 -8.0258685701e-01 2.7741314299e-01 
1.4977800000e+00 0.0000000000e+00 -8.1162283663e-01 2.6837716337e-01 
1.5064300000e+00 0.0000000000e+00 -8.6831324834e-01 2.1168675166e-01 
1.5074400000e+00 0.0000000000e+00 -8.7538698873e-01 2.0461301127e-01 
1.5166400000e+00 0.0000000000e+00 -9.2540158450e-01 1.5459841550e-01 
1.5177200000e+00 0.0000000000e+00 -9.2719891401e-01 1.5280108556e-01 
1.5275200000e+00 0.0000000000e+00 -9.6176880639e-01 1.1823119317e-01 
1.5286700000e+00 0.0000000000e+00 -9.6200723209e-01 1.1799276824e-01 
1.5391100000e+00 0.0000000000e+00 -9.7125616829e-01 1.0874383204e-01 
1.5403400000e+00 0.0000000000e+00 -9.7131894701e-01 1.0868105262e-01 
1.5514600000e+00 0.0000000000e+00 -9.7792327931e-01 1.0207672032e-01 
1.5527600000e+00 0.0000000000e+00 -9.7797502886e-01 1.0202497117e-01 
1.5646000000e+00 0.0000000000e+00 -9.8485549003e-01 9.5144510364e-02 
1.5659900000e+00 0.0000000000e+00 -9.8486869790e-01 9.5131302284e-02 
1.5786000000e+00 0.0000000000e+00 -9.8642538930e-01 9.3574610429e-02 
1.5800800000e+00 0.0000000000e+00 -9.8642702556e-01 9.3572973952e-02 
1.5935100000e+00 0.0000000000e+00 -9.8655383319e-01 9.3446166862e-02 
1.5950800000e+00 0.0000000000e+00 -9.8655417668e-01 9.3445823931e-02 
1.6093900000e+00 0.0000000000e+00 -9.8656395177e-01 9.3436048393e-02 
1.6110700000e+00 0.0000000000e+00 -9.8656413291e-01 9.3435866613e-02 
1.6263000000e+00 0.0000000000e+00 -9.8656517538e-01 9.3434824411e-02 
1.6280900000e+00 0.0000000000e+00 -9.8656530605e-01 9.3434694184e-02 
1.6443200000e+00 0.0000000000e+00 -9.8656553400e-01 9.3434466318e-02 
1.6462200000e+00 0.0000000000e+00 -9.8656560527e-01 9.3434395364e-02 
1.6635000000e+00 0.0000000000e+00 -9.8656281844e-01 9.3437181565e-02 
1.6655900000e+00 0.0000000000e+00 -9.8656234627e-01 9.3437653903e-02 
1.6845600000e+00 0.0000000000e+00 -9.8649172129e-01 9.3508279155e-02 
1.6872500000e+00 0.0000000000e+00 -9.8648740248e-01 9.3512597534e-02 
1.7117400000e+00 0.0000000000e+00 -9.8607342407e-01 9.3926575491e-02 
1.7152200000e+00 0.0000000000e+00 -9.8584835473e-01 9.4151644859e-02 
1.7468400000e+00 0.0000000000e+00 -9.5617218413e-01 1.2382781591e-01 
1.7501400000e+00 0.0000000000e+00 -9.5616941843e-01 1.2383058117e-01 
1.7801700000e+00 0.0000000000e+00 -9.5598479912e-01 1.2401520048e-01 
1.7851200000e+00 0.0000000000e+00 -9.5598482189e-01 1.2401517857e-01 
1.8301700000e+00 0.0000000000e+00 -9.5598386681e-01 1.2401613364e-01 
1.8367700000e+00 0.0000000000e+00 -9.5598389849e-01 1.2401610133e-01 
1.8968400000e+00 0.0000000000e+00 -9.5598393363e-01 1.2401606619e-01 
1.9067300000e+00 0.0000000000e+00 -9.5598384751e-01 1.2401615220e-01 
1.9968400000e+00 0.0000000000e+00 -9.5598301948e-01 1.2401698024e-01 
