EXPORTED CROSS SECTION DATA
284 4 4
x coordinate
Electron QFL
Valence Band Energy
Conduction Band Energy
8.8145000000e-01 -1.3559025906e-01 -5.1919228779e-01 5.6080771221e-01 
8.9011000000e-01 -1.2861363641e-01 -5.1517274296e-01 5.6482725704e-01 
8.9107000000e-01 -1.2784202954e-01 -5.1466319598e-01 5.6533680402e-01 
8.9973000000e-01 -1.2120313800e-01 -5.1088804906e-01 5.6911195094e-01 
9.0068000000e-01 -1.2046932398e-01 -5.1040945243e-01 5.6959054757e-01 
9.0935000000e-01 -1.1416375759e-01 -5.0686589912e-01 5.7313410088e-01 
9.1030000000e-01 -1.1346708141e-01 -5.0641663905e-01 5.7358336095e-01 
9.1896000000e-01 -1.0748459115e-01 -5.0309284904e-01 5.7690715096e-01 
9.1991000000e-01 -1.0682383449e-01 -5.0267143420e-01 5.7732856580e-01 
9.2858000000e-01 -1.0115134667e-01 -4.9955644578e-01 5.8044355422e-01 
9.2953000000e-01 -1.0052500867e-01 -4.9916149380e-01 5.8083850620e-01 
9.3819000000e-01 -9.5148212872e-02 -4.9624511292e-01 5.8375488708e-01 
9.3914000000e-01 -9.4554672542e-02 -4.9587533735e-01 5.8412466265e-01 
9.4781000000e-01 -8.9458920992e-02 -4.9314805021e-01 5.8685194979e-01 
9.4876000000e-01 -8.8896529284e-02 -4.9280225035e-01 5.8719774965e-01 
9.5742000000e-01 -8.4067345954e-02 -4.9025514774e-01 5.8974485226e-01 
9.5837000000e-01 -8.3534479308e-02 -4.8993219810e-01 5.9006780190e-01 
9.6704000000e-01 -7.8957860207e-02 -4.8755691141e-01 5.9244308859e-01 
9.6799000000e-01 -7.8452949556e-02 -4.8725575451e-01 5.9274424549e-01 
9.7665000000e-01 -7.4115549065e-02 -4.8504439987e-01 5.9495560013e-01 
9.7760000000e-01 -7.3637093811e-02 -4.8476403842e-01 5.9523596158e-01 
9.8627000000e-01 -6.9526386230e-02 -4.8270917167e-01 5.9729082833e-01 
9.8722000000e-01 -6.9072954484e-02 -4.8244866331e-01 5.9755133669e-01 
9.9588000000e-01 -6.5177511458e-02 -4.8054324123e-01 5.9945675877e-01 
9.9684000000e-01 -6.4747715942e-02 -4.8030169388e-01 5.9969830612e-01 
9.9779000000e-01 -6.4340132763e-02 -4.8007826169e-01 5.9992173831e-01 
1.0064500000e+00 -6.0640048488e-02 -4.7831561500e-01 6.0168438500e-01 
1.0074000000e+00 -6.0253724391e-02 -4.7810949667e-01 6.0189050333e-01 
1.0160700000e+00 -5.6748135516e-02 -4.7648331015e-01 6.0351668985e-01 
1.0170200000e+00 -5.6381983322e-02 -4.7629374656e-01 6.0370625344e-01 
1.0256800000e+00 -5.3059505643e-02 -4.7479804741e-01 6.0520195259e-01 
1.0266300000e+00 -5.2712467742e-02 -4.7462432168e-01 6.0537567832e-01 
1.0353000000e+00 -4.9563150113e-02 -4.7325347136e-01 6.0674652864e-01 
1.0362500000e+00 -4.9234230179e-02 -4.7309490899e-01 6.0690509101e-01 
1.0449100000e+00 -4.6248970209e-02 -4.7184361135e-01 6.0815638865e-01 
1.0458600000e+00 -4.5937234990e-02 -4.7169958111e-01 6.0830041889e-01 
1.0545300000e+00 -4.3107578747e-02 -4.7056288327e-01 6.0943711673e-01 
1.0554800000e+00 -4.2812154541e-02 -4.7043279905e-01 6.0956720095e-01 
1.0641400000e+00 -4.0130209244e-02 -4.6940610946e-01 6.1059389054e-01 
1.0650900000e+00 -3.9850278180e-02 -4.6928943307e-01 6.1071056693e-01 
1.0737600000e+00 -3.7308661920e-02 -4.6836853859e-01 6.1163146141e-01 
1.0747100000e+00 -3.7043458539e-02 -4.6826478231e-01 6.1173521769e-01 
1.0833700000e+00 -3.4635264605e-02 -4.6744587437e-01 6.1255412563e-01 
1.0843300000e+00 -3.4384073030e-02 -4.6735460494e-01 6.1264539506e-01 
1.0929900000e+00 -3.2102842512e-02 -4.6663430383e-01 6.1336569617e-01 
1.0939400000e+00 -3.1864993966e-02 -4.6655514618e-01 6.1344485382e-01 
1.1026000000e+00 -2.9704692780e-02 -4.6593053442e-01 6.1406946558e-01 
1.1035600000e+00 -2.9479563416e-02 -4.6586317626e-01 6.1413682374e-01 
1.1122200000e+00 -2.7434562216e-02 -4.6533183193e-01 6.1466816807e-01 
1.1131700000e+00 -2.7221571156e-02 -4.6527602885e-01 6.1472397115e-01 
1.1218400000e+00 -2.5286628121e-02 -4.6483606884e-01 6.1516393116e-01 
1.1227900000e+00 -2.5085235726e-02 -4.6479164929e-01 6.1520835071e-01 
1.1314500000e+00 -2.3255480070e-02 -4.6444176712e-01 6.1555823288e-01 
1.1324000000e+00 -2.3065186207e-02 -4.6440863856e-01 6.1559136144e-01 
1.1410700000e+00 -2.1336103046e-02 -4.6414814857e-01 6.1585185143e-01 
1.1420200000e+00 -2.1156445474e-02 -4.6412630317e-01 6.1587369683e-01 
1.1506800000e+00 -1.9523861137e-02 -4.6395519635e-01 6.1604480365e-01 
1.1516300000e+00 -1.9354413796e-02 -4.6394471864e-01 6.1605528136e-01 
1.1603000000e+00 -1.7814480237e-02 -4.6386371129e-01 6.1613628871e-01 
1.1612500000e+00 -1.7654851542e-02 -4.6386478461e-01 6.1613521539e-01 
1.1699100000e+00 -1.6204031746e-02 -4.6387538052e-01 6.1612461948e-01 
1.1708600000e+00 -1.6053863244e-02 -4.6388829618e-01 6.1611170382e-01 
1.1795300000e+00 -1.4688917260e-02 -4.6399285240e-01 6.1600714760e-01 
1.1804800000e+00 -1.4547880849e-02 -4.6401801843e-01 6.1598198157e-01 
1.1891400000e+00 -1.3265840379e-02 -4.6421982005e-01 6.1578017995e-01 
1.1900900000e+00 -1.3133635444e-02 -4.6425777138e-01 6.1574222862e-01 
1.1987600000e+00 -1.1931779071e-02 -4.6456111173e-01 6.1543888827e-01 
1.1997100000e+00 -1.1808129922e-02 -4.6461252235e-01 6.1538747765e-01 
1.2083700000e+00 -1.0683960398e-02 -4.6502280390e-01 6.1497719610e-01 
1.2093300000e+00 -1.0568613400e-02 -4.6508850057e-01 6.1491149943e-01 
1.2179900000e+00 -9.5198313403e-03 -4.6561233766e-01 6.1438766234e-01 
1.2189400000e+00 -9.4125516113e-03 -4.6569331508e-01 6.1430668492e-01 
1.2276000000e+00 -8.4370258418e-03 -4.6633867086e-01 6.1366132914e-01 
1.2285600000e+00 -8.3375935157e-03 -4.6643611056e-01 6.1356388944e-01 
1.2372200000e+00 -7.4333277978e-03 -4.6721243754e-01 6.1278756246e-01 
